"weight"|"lat"|"lon"|"Location"|"CreatedDate"|"DueDate"|"ClosedDate"|"Priority/TYPE"                                             
1|                             29.89748058|                            -95.44311139|2335 W MOUNT HOUSTON RD, HOUSTON TX 77088|2017-09-05 11:52:00.000|2017-09-05 12:52:00.000|2017-09-05 12:41:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72282676|                            -95.41785267|2525 SUNSET BLVD, HOUSTON TX 77005|2017-09-05 14:18:00.000|2017-09-05 15:18:00.000|2017-09-05 14:59:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68730609|                            -95.29717801|5305 TELEPHONE RD, HOUSTON TX 77087|2017-08-09 08:16:00.000|2017-08-10 08:16:00.000|2017-08-09 08:41:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.64085546|                            -95.42631474|12903 GROVEMILL DR, HOUSTON TX 77045|2017-08-09 08:26:00.000|2017-08-09 09:26:00.000|2017-08-09 11:08:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.75820104|                            -95.59187949|1107 HEATHWOOD CT, HOUSTON TX 77077|2017-08-09 08:55:00.000|2017-08-10 08:55:00.000|2017-08-09 13:01:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.68173743|                            -95.29848777|5721 LANCASTER ST, HOUSTON TX 77087|2017-08-09 12:20:00.000|2017-08-09 13:20:00.000|2017-08-09 14:20:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.87329969|                            -95.49580752|7100 WOODFERN DR, HOUSTON TX 77040|2017-08-10 10:03:00.000|2017-08-10 11:03:00.000|2017-08-10 11:22:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83928391|                            -95.25062046|9247 OAK KNOLL LN, HOUSTON TX 77078|2017-08-10 10:27:00.000|2017-08-10 11:27:00.000|2017-08-10 12:59:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66154606|                            -95.54215163|9322 VICKIJOHN DR, HOUSTON TX 77031|2017-09-05 15:32:00.000|2017-09-05 16:32:00.000|2017-09-06 12:37:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74863433|                            -95.40159467|1914 RIDGEWOOD ST A, HOUSTON TX 77006|2017-09-05 15:46:00.000|2017-09-05 16:46:00.000|2017-09-06 13:31:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72973371|                            -95.43734495|3800 SOUTHWEST FWY 136, HOUSTON TX 77027|2017-09-05 16:03:00.000|2017-09-05 17:03:00.000|2017-09-06 13:36:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.70510267|                            -95.41550303|2433 DORRINGTON ST, HOUSTON TX 77030|2017-09-05 16:32:00.000|2017-09-05 17:32:00.000|2017-09-07 10:14:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72745538|                            -95.37289030|4415 S SHAVER ST 1701, HOUSTON TX 77034|2017-08-15 11:32:00.000|2017-08-15 12:32:00.000|2017-08-15 13:19:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.88351800|                            -95.47358676|8034 ANTOINE DR, HOUSTON TX 77088|2017-08-15 13:06:00.000|2017-08-15 14:06:00.000|2017-08-15 17:22:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.08194838|                            -95.17129451|3006 LAUREL MIST CT, HOUSTON TX 77345|2017-09-06 11:15:00.000|2017-09-06 12:15:00.000|2017-09-06 12:36:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72989822|                            -95.46594285|3505 SAGE RD 908, HOUSTON TX 77056|2017-07-24 08:53:00.000|2017-07-24 09:53:00.000|2017-07-24 10:08:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.73246349|                            -95.65451218|15300 WESTHEIMER RD, HOUSTON TX 77082|2017-05-02 15:06:00.000|2017-05-02 16:06:00.000|2017-05-03 11:37:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.82603144|                            -95.39431087|407 NEYLAND ST, HOUSTON TX 77022|2017-05-05 08:56:00.000|2017-05-05 09:56:00.000|2017-05-05 10:25:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74563018|                            -95.30148600|6825 AVENUE E, HOUSTON TX 77011|2017-05-05 09:03:00.000|2017-05-05 10:03:00.000|2017-05-06 13:35:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.95018094|                            -95.39905874|700 W GREENS RD 18, HOUSTON TX 77060|2017-05-10 08:20:00.000|2017-05-10 09:20:00.000|2017-05-10 12:33:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83401791|                            -95.38352370|4550 N BRAESWOOD BLVD, HOUSTON TX 77096|2017-05-12 08:20:00.000|2017-05-13 08:20:00.000|2017-05-12 09:12:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.67228009|                            -95.58407029|9700 COURT GLEN DR 1305, HOUSTON TX 77099|2017-05-22 09:58:00.000|2017-05-22 10:58:00.000|2017-05-22 18:04:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.69871244|                            -95.41607157|2400 N BRAESWOOD BLVD, HOUSTON TX 77030|2017-05-26 07:57:00.000|2017-05-27 07:57:00.000|2017-05-28 15:57:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             30.02850078|                            -95.22887463|1711 HAMBLEN RD, HOUSTON TX 77339|2017-05-26 08:05:00.000|2017-05-26 09:05:00.000|2017-05-26 09:46:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.86936866|                            -95.43553425|8301 W MONTGOMERY RD, HOUSTON TX 77088|2017-05-31 08:15:00.000|2017-05-31 09:15:00.000|2017-05-31 13:17:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.78165192|                            -95.48751727|901 QUEEN ANNES RD, HOUSTON TX 77024|2017-06-06 07:32:00.000|2017-06-06 08:32:00.000|2017-06-06 16:33:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.65743494|                            -95.49550771|6010 W BELLFORT ST, HOUSTON TX 77096|2017-06-11 22:30:00.000|2017-06-11 23:30:00.000|2017-06-12 00:45:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74056137|                            -95.60192415|12502 PIPING ROCK DR, HOUSTON TX 77077|2017-06-12 08:16:00.000|2017-06-12 09:16:00.000|2017-06-12 16:16:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.86400533|                            -95.45537379|7050 INWOOD PARK DR 99, HOUSTON TX 77088|2017-06-14 07:47:00.000|2017-06-14 08:47:00.000|2017-06-14 10:32:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.71286656|                            -95.31358996|5998 GULF FWY, HOUSTON TX 77023|2017-06-14 07:55:00.000|2017-06-14 08:55:00.000|2017-06-14 09:20:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.81175333|                            -95.54152731|2111 TEAGUE RD, HOUSTON TX 77080|2017-06-14 08:08:00.000|2017-06-14 09:08:00.000|2017-06-14 12:02:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.69770130|                            -95.50410576|7414 BINTLIFF DR, HOUSTON TX 77074|2017-06-18 07:55:00.000|2017-06-18 08:55:00.000|2017-06-18 12:10:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.85412361|                            -95.46866479|5912 BOLIVIA BLVD B, HOUSTON TX 77091|2017-06-18 08:33:00.000|2017-06-18 09:33:00.000|2017-06-18 10:35:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.73557763|                            -95.50308848|7600 HIGHMEADOW DR, HOUSTON TX 77063|2017-06-20 07:20:00.000|2017-06-20 08:20:00.000|2017-06-21 14:07:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74330460|                            -95.32903247|414 S LOCKWOOD DR, HOUSTON TX 77011|2017-06-20 07:30:00.000|2017-06-20 08:30:00.000|2017-06-20 09:04:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68432107|                            -95.55260242|10001 CLUB CREEK DR 276, HOUSTON TX 77036|2017-06-29 08:10:00.000|2017-06-29 09:10:00.000|2017-06-29 13:00:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66520304|                            -95.59853261|12179 HUNTINGTON VENTURE DR, HOUSTON TX 77099|2017-06-29 08:22:00.000|2017-06-29 09:22:00.000|2017-06-29 14:07:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.67260248|                            -95.48197167|5535 RUTHERGLENN DR, HOUSTON TX 77096|2017-07-03 09:27:00.000|2017-07-03 10:27:00.000|2017-07-03 11:05:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68204754|                            -95.57084619|8814 WILCREST DR, HOUSTON TX 77099|2017-07-11 09:34:00.000|2017-07-11 10:34:00.000|2017-07-11 10:50:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.78516431|                            -95.29259082|7517 LONGVIEW, HOUSTON TX 77020|2017-07-12 07:33:00.000|2017-07-12 08:33:00.000|2017-07-12 09:13:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74803734|                            -95.34687794|813 ENNIS ST, HOUSTON TX 77003|2017-07-12 08:08:00.000|2017-07-13 08:08:00.000|2017-07-12 08:52:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.70800411|                            -95.27293507|2017 ROMANS ST, HOUSTON TX 77012|2017-07-12 08:24:00.000|2017-07-13 08:24:00.000|2017-07-12 09:24:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.78365661|                            -95.68466091|17555 KATY FWY, HOUSTON TX 77084|2017-07-14 07:47:00.000|2017-07-14 08:47:00.000|2017-07-15 15:27:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.80404516|                            -95.35760412|4815 ROBERTSON ST, HOUSTON TX 77009|2017-07-28 16:04:00.000|2017-07-28 17:04:00.000|2017-07-29 11:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83638654|                            -95.53431366|9822 LA VISTA DR, HOUSTON TX 77041|2017-07-28 16:20:00.000|2017-07-28 17:20:00.000|2017-07-29 11:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83088850|                            -95.39358281|510 E WHITNEY ST, HOUSTON TX 77022|2017-07-28 17:24:00.000|2017-07-28 18:24:00.000|2017-07-29 10:41:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.79830458|                            -95.43657212|2100 TANNEHILL DR 1131, HOUSTON TX 77008|2017-07-31 07:30:00.000|2017-07-31 08:30:00.000|2017-07-31 11:18:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.94870741|                            -95.41755255|12501 NORTH FWY, HOUSTON TX 77060|2017-07-31 07:51:00.000|2017-07-31 08:51:00.000|2017-07-31 12:12:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.87417278|                            -95.46151635|3906 R V MAYFIELD DR, HOUSTON TX 77088|2017-07-31 08:00:00.000|2017-07-31 09:00:00.000|2017-07-31 13:18:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.80122028|                            -95.43553116|2000 W 18TH ST, HOUSTON TX 77008|2017-07-31 08:05:00.000|2017-07-31 09:05:00.000|2017-07-31 09:23:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68590121|                            -95.52238641|8514 BRAE ACRES RD, HOUSTON TX 77074|2017-08-17 09:21:00.000|2017-08-18 09:21:00.000|2017-08-17 12:08:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.83939209|                            -95.39553578|5015 WERNER ST, HOUSTON TX 77022|2017-07-11 09:56:00.000|2017-07-11 10:56:00.000|2017-07-11 13:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.85001467|                            -95.29440730|7525 TIDWELL RD, HOUSTON TX 77016|2017-07-11 13:45:00.000|2017-07-11 14:45:00.000|2017-07-11 15:35:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.60332775|                            -95.46901364|5725 INGOMAR WAY, HOUSTON TX 77053|2017-07-11 14:43:00.000|2017-07-11 15:43:00.000|2017-07-11 17:06:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.80744882|                            -95.39877406|114 E 24TH ST, HOUSTON TX 77008|2017-08-02 09:28:00.000|2017-08-02 10:28:00.000|2017-08-02 10:38:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.67513789|                            -95.49118456|5835 BRAESHEATHER DR, HOUSTON TX 77096|2017-08-02 09:55:00.000|2017-08-03 09:55:00.000|2017-08-02 12:07:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.84490166|                            -95.44028933|1726 TORNADO, HOUSTON TX 77091|2017-08-02 10:57:00.000|2017-08-02 11:57:00.000|2017-08-02 20:07:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.60868132|                            -95.25758705|10811 NELLSFIELD LN, HOUSTON TX 77075|2017-07-14 11:28:00.000|2017-07-14 12:28:00.000|2017-07-14 14:26:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.77898336|                            -95.34766106|1909 CHASE ST, HOUSTON TX 77026|2017-07-24 09:09:00.000|2017-07-24 10:09:00.000|2017-07-24 11:37:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83158387|                            -95.43222833|1252 CURTIN ST, HOUSTON TX 77018|2017-07-24 09:21:00.000|2017-07-24 10:21:00.000|2017-07-24 14:32:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.67597814|                            -95.33593261|5706 SOUTHSEAS, HOUSTON TX 77033|2017-07-24 09:49:00.000|2017-07-24 10:49:00.000|2017-07-24 13:02:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72076336|                            -95.48398946|5840 GLENMONT DR 149, HOUSTON TX 77081|2017-07-24 10:54:00.000|2017-07-24 11:54:00.000|2017-07-24 15:09:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74708769|                            -95.55407724|10211 BRIAR FOREST DR, HOUSTON TX 77042|2017-06-29 12:11:00.000|2017-06-29 13:11:00.000|2017-06-29 13:59:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.70800411|                            -95.27293507|2017 ROMANS ST, HOUSTON TX 77012|2017-06-29 12:50:00.000|2017-06-30 12:50:00.000|2017-06-30 12:30:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.80885326|                            -95.36464389|507 GRACELAND ST, HOUSTON TX 77009|2017-07-03 11:09:00.000|2017-07-03 12:09:00.000|2017-07-03 13:23:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83509714|                            -95.34618047|2515 SADLER ST, HOUSTON TX 77093|2017-06-29 13:41:00.000|2017-06-29 14:41:00.000|2017-06-29 14:45:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.70859758|                            -95.49241538|6600 HILLCROFT ST 2075, HOUSTON TX 77081|2017-07-03 13:00:00.000|2017-07-03 14:00:00.000|2017-07-03 17:43:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66745269|                            -95.49691908|6031 LYMBAR DR, HOUSTON TX 77096|2017-07-24 11:31:00.000|2017-07-24 12:31:00.000|2017-07-24 14:43:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72058843|                            -95.60917740|12660 ASHFORD POINT DR, HOUSTON TX 77082|2017-07-24 11:48:00.000|2017-07-24 12:48:00.000|2017-07-24 14:19:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.65534960|                            -95.50236395|6301 W BELLFORT ST 198, HOUSTON TX 77035|2017-06-20 09:25:00.000|2017-06-20 10:25:00.000|2017-06-20 10:46:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.76018771|                            -95.36935447|901 BAGBY ST, HOUSTON TX 77002|2017-07-19 07:49:00.000|2017-07-19 08:49:00.000|2017-07-19 08:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.79519957|                            -95.49627333|1412 MORITZ DR, HOUSTON TX 77055|2017-07-19 07:57:00.000|2017-07-19 08:57:00.000|2017-07-19 10:10:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.65262605|                            -95.37264727|9525 CHESTERFIELD DR, HOUSTON TX 77051|2017-07-11 11:26:00.000|2017-07-11 12:26:00.000|2017-07-11 13:18:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.85639049|                            -95.29799267|7213 RHOBELL ST, HOUSTON TX 77016|2017-06-29 16:34:00.000|2017-06-29 17:34:00.000|2017-06-29 16:34:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66738501|                            -95.34160196|5430 WINDEMERE ST, HOUSTON TX 77033|2017-07-03 14:23:00.000|2017-07-03 15:23:00.000|2017-07-03 18:54:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.77995245|                            -95.19461082|13033 EMPORIA ST, HOUSTON TX 77015|2017-07-03 14:54:00.000|2017-07-03 15:54:00.000|2017-07-03 19:35:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.98913146|                            -95.42818706|15215 BLUE ASH, HOUSTON TX 77090|2017-06-30 07:55:00.000|2017-06-30 08:55:00.000|2017-06-30 08:07:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66367632|                            -95.48911270|5747 HUMMINGBIRD ST, HOUSTON TX 77096|2017-06-18 13:43:00.000|2017-06-18 14:43:00.000|2017-06-18 17:19:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.70525848|                            -95.60957803|6701 WESTWICK DR, HOUSTON TX 77072|2017-06-18 17:38:00.000|2017-06-18 18:38:00.000|2017-06-19 10:18:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.64337841|                            -95.24436799|10331 GULF FWY, HOUSTON TX 77034|2017-06-20 11:01:00.000|2017-06-20 12:01:00.000|2017-06-20 14:34:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.71507340|                            -95.38976662|6200 HERMAN PARK DR, HOUSTON TX 77030|2017-07-11 11:58:00.000|2017-07-11 12:58:00.000|2017-07-11 14:53:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68925246|                            -95.43493944|8707 LINKMEADOW LN, HOUSTON TX 77025|2017-07-11 12:02:00.000|2017-07-11 13:02:00.000|2017-07-11 14:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.65011126|                            -95.37202818|3429 SUNBEAM ST, HOUSTON TX 77051|2017-07-11 12:17:00.000|2017-07-11 13:17:00.000|2017-07-11 14:16:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.71682865|                            -95.38994083|6102 HERMANN PARK DR, HOUSTON TX 77004|2017-07-11 12:16:00.000|2017-07-11 13:16:00.000|2017-07-11 14:45:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.81269928|                            -95.51126515|2217 HOLLISTER ST 413, HOUSTON TX 77080|2017-05-02 09:15:00.000|2017-05-02 10:15:00.000|2017-05-02 11:14:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.04564253|                            -95.18448978|2727 BENS BRANCH DR, HOUSTON TX 77339|2017-05-02 13:53:00.000|2017-05-02 14:53:00.000|2017-05-02 17:50:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.71216726|                            -95.28402531|7618 GARDEN ST, HOUSTON TX 77012|2017-05-02 07:30:00.000|2017-05-02 08:30:00.000|2017-05-02 10:21:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.86660911|                            -95.35184786|2148 SKINNER RD, HOUSTON TX 77093|2017-05-22 07:39:00.000|2017-05-22 08:39:00.000|2017-05-22 11:53:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74465514|                            -95.49858516|2100 WINROCK 79, HOUSTON TX 77056|2017-05-22 07:45:00.000|2017-05-22 08:45:00.000|2017-05-22 10:39:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.61466284|                            -95.38595690|2503 ALMEDA GENOA RD, HOUSTON TX 77047|2017-05-22 07:52:00.000|2017-05-22 08:52:00.000|2017-05-22 09:46:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.66065333|                            -95.34392963|9041 NOEL ST, HOUSTON TX 77033|2017-05-22 08:12:00.000|2017-05-22 09:12:00.000|2017-05-22 09:40:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.04749881|                            -95.17939127|2807 KINGS CROSSING DR, HOUSTON TX 77345|2017-05-22 08:00:00.000|2017-05-22 09:00:00.000|2017-05-22 10:42:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.75810914|                            -95.38111131|1324 W DALLAS ST, HOUSTON TX 77019|2017-05-22 08:26:00.000|2017-05-22 09:26:00.000|2017-05-22 11:46:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.65582483|                            -95.52132125|11280 BRAES FOREST DR 401, HOUSTON TX 77071|2017-05-22 08:39:00.000|2017-05-22 09:39:00.000|2017-05-22 09:31:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.73335921|                            -95.60688046|12523 ASHFORD MEADOW DR D, HOUSTON TX 77082|2017-05-23 07:27:00.000|2017-05-23 08:27:00.000|2017-05-23 13:26:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.59237958|                            -95.45216543|4863 BEECHAVEN DR, HOUSTON TX 77053|2017-05-23 07:38:00.000|2017-05-23 08:38:00.000|2017-05-23 10:19:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.79404605|                            -95.42816575|6410 GROVEWOOD LN, HOUSTON TX 77008|2017-05-23 07:48:00.000|2017-05-23 08:48:00.000|2017-05-23 15:07:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.82088942|                            -95.21054229|13342 PINE TREE FOREST TRL, HOUSTON TX 77049|2017-05-02 08:00:00.000|2017-05-02 09:00:00.000|2017-05-02 14:23:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.84519336|                            -95.41071075|5420 N SHEPHERD DR, HOUSTON TX 77091|2017-05-18 09:18:00.000|2017-05-18 10:18:00.000|2017-05-19 08:01:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.74410780|                            -95.32012187|113 DELMAR ST, HOUSTON TX 77011|2017-05-24 08:39:00.000|2017-05-24 09:39:00.000|2017-05-24 09:53:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.84933047|                            -95.30256315|9603 HOMESTEAD RD 70D, HOUSTON TX 77016|2017-07-24 22:18:00.000|2017-07-24 23:18:00.000|2017-07-25 09:31:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.67228009|                            -95.58407029|9700 COURT GLEN DR 1003, HOUSTON TX 77099|2017-06-19 11:23:00.000|2017-06-19 12:23:00.000|2017-06-19 15:19:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.05740039|                            -95.18736069|3425 W LAKE HOUSTON PKWY, HOUSTON TX 77339|2017-06-19 11:35:00.000|2017-06-19 12:35:00.000|2017-06-19 15:39:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.61493958|                            -95.20284864|10515 LINSLEY LN, HOUSTON TX 77034|2017-06-19 12:01:00.000|2017-06-19 13:01:00.000|2017-06-19 14:01:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.69327591|                            -95.27653534|8120 FINDLAY ST, HOUSTON TX 77017|2017-07-05 11:10:00.000|2017-07-05 12:10:00.000|2017-07-05 15:53:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.80373374|                            -95.57578609|10942 FIRE CREEK DR, HOUSTON TX 77043|2017-06-21 07:14:00.000|2017-06-21 08:14:00.000|2017-06-21 10:05:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.69502774|                            -95.39191999|7575 CAMBRIDGE ST 2903, HOUSTON TX 77054|2017-07-05 13:57:00.000|2017-07-05 14:57:00.000|2017-07-05 18:40:00.000|INVESTIGATION / BITE / Priority 1                           
