County,Line,Facility_Name,Total_Emissions,Facility_Category,City,HoustonGalvestonBrazoria,TCEQ_12,Disaster_County,Harvey,Cause_Code,Event_Type,Event_Start_Date,Based_On,Event_End_Date,Y,X,Event_Start_Time,Event_End_Time,Zip,Total_2017_Events
REAGAN,11,BIG LAKE TREATING FACILITY,"4,040",OIL AND GAS PRODUCTION,BIG LAKE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/03/2017,31.162431,-101.375118,,4:55:00 AM,76932,25
BRAZORIA,12,BLUE CUBE OPERATIONS FREEPORT,157,CHEMICAL PRODUCTION,FREEPORT,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/28/2017,INITIAL REPORT,08/28/2017,28.969389,-95.379528,1:30:00 PM,4:00:00 PM,77541,5
BRAZORIA,13,BLUE CUBE OPERATIONS FREEPORT,153,CHEMICAL PRODUCTION,FREEPORT,YES,YES,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/02/2017,28.986667,-95.379167,5:58:00 PM,3:31:00 PM,77541,5
HUTCHINSON,14,BORGER REFINERY,"3,239",REFINERY,BORGER,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/23/2017,35.697188,-101.365324,,7:30:00 PM,79008,18
MARTIN,15,BUFFALO GAS PLANT,"13,178",OIL AND GAS PRODUCTION,STANTON,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER FACILITY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/29/2017,32.189781,-102.004536,11:01:00 AM,9:01:00 PM,78792,5
ECTOR,16,BUM A BATTERY,"3,092",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.097221,-102.725294,9:00:00 AM,2:00:00 PM,79741,5
HARRIS,17,CELANESE CLEAR LAKE PLANT,691,CHEMICAL PRODUCTION,PASADENA,YES,YES,YES,YES,HURRICANE DISRUPTED ABILITY TO OPERATE,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,29.622406,-95.063369,2:28:00 AM,3:06:00 AM,77507,7
HARRIS,18,CELANESE CLEAR LAKE PLANT,235,CHEMICAL PRODUCTION,PASADENA,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/30/2017,FINAL REPORT,09/02/2017,29.622406,-95.063369,11:00:00 PM,8:00:00 AM,77507,7
HUTCHINSON,19,CHEVRON PHILLIPS CHEMICAL BORGER PLANT,"2,183",REFINERY,BORGER,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/25/2017,FINAL REPORT,08/25/2017,35.702869,-101.361716,3:13:00 AM,3:34:00 AM,79007,3
HARRIS,20,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,"745,229",CHEMICAL PRODUCTION,BAYTOWN,YES,YES,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/27/2017,INITIAL REPORT,09/06/2017,29.826000,-94.921917,,,77521,6
HARRIS,21,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,243,CHEMICAL PRODUCTION,BAYTOWN,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/26/2017,INITIAL REPORT,08/26/2017,29.826000,-94.921917,12:20:00 PM,12:22:00 PM,77521,6
JEFFERSON,22,CHEVRON PHILLIPS CHEMICAL PORT ARTHUR FACILITY,"34,591",CHEMICAL PRODUCTION,PORT ARTHUR,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/30/2017,INITIAL REPORT,09/02/2017,29.848998,-93.976534,1:00:00 AM,1:00:00 AM,77640,7
BRAZORIA,23,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,"11,789",CHEMICAL PRODUCTION,OLD OCEAN,YES,YES,YES,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/24/2017,FINAL REPORT,08/25/2017,29.082434,-95.740995,11:36:00 PM,5:00:00 AM,77463,10
BRAZORIA,24,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,"222,726",CHEMICAL PRODUCTION,OLD OCEAN,YES,YES,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/27/2017,INITIAL REPORT,08/29/2017,29.082434,-95.740995,2:00:00 PM,8:00:00 AM,77463,10
BRAZORIA,25,CHOCOLATE BAYOU PLANT,"91,120",CHEMICAL PRODUCTION,ALVIN,YES,YES,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,29.230308,-95.201050,4:00:00 AM,4:00:00 AM,77511,5
BRAZORIA,26,CHOCOLATE BAYOU PLANT,"104,530",CHEMICAL PRODUCTION,ALVIN,YES,YES,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/06/2017,INITIAL REPORT,09/07/2017,29.230308,-95.201050,2:00:00 AM,2:00:00 AM,77511,5
NUECES,27,CITGO CORPUS CHRISTI REFINERY - WEST PLANT,"8,521",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/24/2017,INITIAL REPORT,08/25/2017,27.813375,-97.496165,10:00:00 PM,10:00:00 AM,78409,3
NUECES,28,CITGO CORPUS CHRISTI REFINERY EAST PLANT,"28,448",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/24/2017,INITIAL REPORT,08/25/2017,27.807986,-97.421667,10:00:00 PM,10:00:00 AM,78407,5
JOHNSON,29,CLEBURNE PLANT,449,FLEET REFUELING,CLEBURNE,NO,NO,NO,NO,MAINTENANCE,MAINTENANCE,08/31/2017,INITIAL REPORT,09/02/2017,32.385833,-97.394722,7:00:00 PM,1:00:00 AM,76031,4
JOHNSON,30,CLEBURNE PLANT,360,FLEET REFUELING,CLEBURNE,NO,NO,NO,NO,MAINTENANCE,MAINTENANCE,09/06/2017,INITIAL REPORT,09/07/2017,32.385833,-97.394722,12:01:00 AM,12:01:00 AM,76031,4
GLASSCOCK,31,COLE RANCH COMPRESSOR STATION,"14,875",OIL AND GAS PRODUCTION,GARDEN CITY,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/24/2017,INITIAL REPORT,08/24/2017,31.747037,-101.610135,2:51:00 PM,9:51:00 PM,79739,7
YOAKUM,32,CORNELL FIELD FLARE SITE,"108,826",NATURAL GAS PRODUCTION,,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/06/2017,33.002774,-102.872977,4:15:00 AM,4:15:00 AM,77995,
REEVES,33,CORNELL KNIGHT 1A,"1,663",OIL AND GAS PRODUCTION,PECOS,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,31.528580,-103.566629,,,79772,1
JEFFERSON,34,CRUDE PRODUCT PORT NECHES,"5,400",OIL AND GAS PRODUCTION,PORT NECHES,NO,NO,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/07/2017,29.975267,-93.936086,4:40:00 PM,4:40:00 PM,77651,2
BRAZORIA,35,DOW TEXAS OPERATIONS FREEPORT,"54,137",CHEMICAL PRODUCTION,FREEPORT,YES,YES,YES,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER FACILITY,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,28.983139,-95.395556,10:00:00 AM,10:00:00 AM,77541,15
BRAZORIA,36,DOW TEXAS OPERATIONS FREEPORT,940,CHEMICAL PRODUCTION,FREEPORT,YES,YES,YES,NO,MAINTENANCE,MAINTENANCE,09/05/2017,INITIAL REPORT,09/06/2017,28.983139,-95.395556,7:00:00 AM,7:00:00 AM,77541,15
MIDLAND,37,DRIVER GAS PLANT,"12,554",NATURAL GAS PRODUCTION,MIDKIFF,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER FACILITY,EMISSIONS EVENT,09/02/2017,INITIAL REPORT,09/02/2017,31.735372,-101.797736,1:30:00 AM,3:00:00 PM,79755,11
GLASSCOCK,38,DUKE ENERGY FIELD SERVICES PIPELINE GLASSCOCK COUNTY,"29,774",PIPELINE,GARDEN CITY,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/31/2017,INITIAL REPORT,08/31/2017,,,5:00:00 PM,6:00:00 PM,79739,
SCHLEICHER,39,DUKE ENERGY FIELD SERVICES PIPELINE SCHLEICHER COUNTY,"50,823",PIPELINE,EL DORADO,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/01/2017,,,3:00:00 PM,4:00:00 PM,76936,
CRANE,40,EAST WADDELL RANCH BAT 45,"1,520",OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/30/2017,31.615348,-102.510621,3:00:00 PM,7:20:00 PM,79776,17
CRANE,41,EAST WADDELL RANCH BAT116,882,OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/30/2017,31.545880,-102.494045,3:00:00 PM,7:20:00 PM,79776,17
CRANE,42,EAST WADDELL RANCH BATTERY 72,"1,542",OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/30/2017,31.596264,-102.509918,3:00:00 PM,7:20:00 PM,79776,19
ANDREWS,43,EMBAR B-1 BATTERY,"20,236",OIL AND GAS PRODUCTION,ANDREWS,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.102620,-102.695548,9:00:00 AM,2:00:00 PM,79714,16
ANDREWS,44,EMBAR B-1 BATTERY,"6,280",OIL AND GAS PRODUCTION,ANDREWS,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,32.102620,-102.695548,10:30:00 PM,7:30:00 AM,79714,16
ANDREWS,45,EMBAR B-2 BATTERY,"21,451",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.096836,-102.715552,9:00:00 AM,2:00:00 PM,79741,16
ANDREWS,46,EMBAR B-2 BATTERY,"6,657",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,32.096836,-102.715552,10:30:00 PM,7:30:00 AM,79741,16
CHAMBERS,47,ENTERPRISE EAST,"20,800",PETROLEUM REFINING,MONT BELVIEU,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/01/2017,INITIAL REPORT,09/05/2017,29.837942,-94.890522,2:30:00 PM,6:30:00 PM,77580,7
CHAMBERS,48,ENTERPRISE EAST,"10,400",PETROLEUM REFINING,MONT BELVIEU,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/01/2017,INITIAL REPORT,09/05/2017,29.837942,-94.890522,2:45:00 PM,6:45:00 PM,77580,7
CHAMBERS,49,ENTERPRISE EAST,540,PETROLEUM REFINING,MONT BELVIEU,YES,YES,YES,YES,HURRICANCE DISRUPTED OPERATIONS DUE OTHER PARTY,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/31/2017,29.837942,-94.890522,8:00:00 PM,8:00:00 PM,77580,7
CHAMBERS,50,ENTERPRISE MONT BELVIEU COMPLEX,"6,826",NATURAL GAS FRACTIONATOR,MONT BELVIEU,YES,YES,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,29.856179,-94.912274,6:00:00 AM,4:00:00 AM,77580,17
CHAMBERS,51,ENTERPRISE MONT BELVIEU COMPLEX,"1,204",NATURAL GAS FRACTIONATOR,MONT BELVIEU,YES,YES,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/28/2017,29.856179,-94.912274,9:30:00 PM,6:00:00 AM,77580,17
CHAMBERS,52,ENTERPRISE MONT BELVIEU COMPLEX,"20,400",NATURAL GAS FRACTIONATOR,MONT BELVIEU,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,09/03/2017,29.856179,-94.912274,11:30:00 AM,11:30:00 AM,77580,17
CHAMBERS,53,ENTERPRISE MONT BELVIEU COMPLEX,"21,500",NATURAL GAS FRACTIONATOR,MONT BELVIEU,YES,YES,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/29/2017,29.856179,-94.912274,12:30:00 PM,3:30:00 PM,77580,17
CHAMBERS,54,ENTERPRISE MONT BELVIEU COMPLEX,"29,850",NATURAL GAS FRACTIONATOR,MONT BELVIEU,YES,YES,YES,YES,POST-HURRICANE START UP,MAINTENANCE,09/01/2017,INITIAL REPORT,09/22/2017,29.856179,-94.912274,7:00:00 AM,3:00:00 AM,77580,17
HARRIS,55,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,"5,157",CHEMICAL PRODUCTION,CHANNELVIEW,YES,YES,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/28/2017,INITIAL REPORT,08/29/2017,29.833365,-95.112020,10:15:00 PM,1:00:00 AM,77530,11
HARRIS,56,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,346,CHEMICAL PRODUCTION,CHANNELVIEW,YES,YES,YES,UNKNOWN,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/03/2017,FINAL REPORT,09/03/2017,29.833365,-95.112020,5:30:00 AM,9:00:00 AM,77530,11
HARRIS,57,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,103,CHEMICAL PRODUCTION,CHANNELVIEW,YES,YES,YES,UNKNOWN,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/04/2017,FINAL REPORT,09/05/2017,29.833365,-95.112020,10:00:00 PM,2:00:00 AM,77530,11
HARRIS,58,EQUISTAR CHEMICALS LA PORTE COMPLEX,404,POLYETHYLENE PRODUCTION,LA PORTE,YES,YES,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/23/2017,29.712048,-95.067803,1:22:00 PM,6:32:00 PM,77571,3
HARRIS,59,EQUISTAR CHEMICALS LA PORTE COMPLEX,"3,422",POLYETHYLENE PRODUCTION,LA PORTE,YES,YES,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,29.712048,-95.067803,6:57:00 AM,5:00:00 AM,77571,3
NUECES,60,EQUISTAR CORPUS CHRISTI PLANT,"10,300",CHEMICAL PRODUCTION,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/24/2017,INITIAL REPORT,08/25/2017,27.810964,-97.593611,6:40:00 PM,12:40:00 AM,78410,12
NUECES,61,EQUISTAR CORPUS CHRISTI PLANT,"302,850",CHEMICAL PRODUCTION,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/01/2017,INITIAL REPORT,10/01/2017,27.810964,-97.593611,5:00:00 AM,5:00:00 AM,78411,12
CRANE,62,EWR SATELLITE 38 N,"1,836",OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/30/2017,31.525597,-102.484990,3:00:00 PM,7:20:00 PM,79776,18
HARRIS,63,EXXON MOBIL BAYTOWN REFINERY,"371,246",REFINERY,BAYTOWN,YES,YES,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/31/2017,29.739444,-95.006944,4:00:00 AM,8:00:00 AM,77520,22
HARRIS,64,EXXON MOBIL BAYTOWN REFINERY,"12,604",REFINERY,BAYTOWN,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,09/01/2017,29.739444,-95.006944,1:00:00 PM,1:00:00 PM,77520,22
HARRIS,65,EXXON MOBIL BAYTOWN REFINERY,"4,185",REFINERY,BAYTOWN,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,09/27/2017,29.739444,-95.006944,2:30:00 AM,5:00:00 PM,77520,22
JEFFERSON,66,EXXONMOBIL BEAUMONT REFINERY,"1,336",FLEET REFUELING,BEAUMONT,NO,NO,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/27/2017,30.065833,-94.071388,7:57:00 PM,8:57:00 PM,77701,9
JEFFERSON,67,EXXONMOBIL BEAUMONT REFINERY,"86,542",FLEET REFUELING,BEAUMONT,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/29/2017,INITIAL REPORT,08/30/2017,30.065833,-94.071388,3:19:00 PM,3:19:00 PM,77701,9
NUECES,68,FHR CORPUS CHRISTI WEST PLANT,"108,250",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/24/2017,INITIAL REPORT,08/26/2017,27.832011,-97.525582,11:00:00 AM,11:00:00 AM,78409,9
NUECES,69,FHR CORPUS CHRISTI WEST PLANT,261,REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/26/2017,27.832011,-97.525582,3:30:00 PM,3:30:00 PM,78409,9
NUECES,70,FHR CORPUS CHRISTI WEST PLANT,"217,000",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,09/06/2017,27.832011,-97.525582,,,78409,9
NUECES,71,FHR CORPUS CHRISTI WEST PLANT,"29,410",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,09/06/2017,27.832011,-97.525582,,,78409,9
NUECES,72,FLINT HILLS RESOURCES EAST REFINERY,"53,750",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/24/2017,INITIAL REPORT,08/26/2017,27.804407,-97.424880,10:00:00 AM,10:00:00 AM,78407,4
NUECES,73,FLINT HILLS RESOURCES EAST REFINERY,"98,750",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,09/06/2017,27.804407,-97.424880,6:00:00 PM,6:00:00 PM,78407,4
NUECES,74,FLINT HILLS RESOURCES EAST REFINERY,210,REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,27.804407,-97.424880,10:00:00 PM,5:38:00 PM,78407,4
JEFFERSON,75,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,273,CHEMICAL PRODUCTION,PORT ARTHUR,NO,NO,YES,YES,HURRICANE CAUSED OPERATIONAL PROBLEM,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/27/2017,29.892778,-93.973333,4:02:00 AM,8:17:00 AM,77640,10
JEFFERSON,76,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,"533,200",CHEMICAL PRODUCTION,PORT ARTHUR,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/29/2017,INITIAL REPORT,09/01/2017,29.892778,-93.973333,11:50:00 AM,11:50:00 AM,77640,10
JEFFERSON,77,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,"463,500",CHEMICAL PRODUCTION,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/08/2017,INITIAL REPORT,09/22/2017,29.892778,-93.973333,8:00:00 AM,8:00:00 AM,77640,10
JEFFERSON,78,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,"14,000",CHEMICAL PRODUCTION,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/08/2017,INITIAL REPORT,,29.892778,-93.973333,8:00:00 AM,,77640,10
CALHOUN,79,FORMOSA POINT COMFORT PLANT,"8,720",CHEMICAL PRODUCTION,POINT COMFORT,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/24/2017,FINAL REPORT,08/25/2017,28.694198,-96.544670,8:30:00 PM,8:26:00 AM,77978,25
CALHOUN,80,FORMOSA POINT COMFORT PLANT,"22,856",CHEMICAL PRODUCTION,POINT COMFORT,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/24/2017,FINAL REPORT,08/25/2017,28.694198,-96.544670,8:05:00 PM,11:18:00 AM,77978,25
CALHOUN,81,FORMOSA POINT COMFORT PLANT,"68,555",CHEMICAL PRODUCTION,POINT COMFORT,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,09/05/2017,28.694198,-96.544670,8:00:00 AM,8:00:00 AM,77978,25
CALHOUN,82,FORMOSA POINT COMFORT PLANT,226,CHEMICAL PRODUCTION,POINT COMFORT,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,09/01/2017,28.694198,-96.544670,8:00:00 AM,8:00:00 AM,77978,25
CALHOUN,83,FORMOSA POINT COMFORT PLANT,"60,337",CHEMICAL PRODUCTION,POINT COMFORT,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/29/2017,INITIAL REPORT,08/30/2017,28.694198,-96.544670,8:00:00 AM,8:00:00 AM,77978,25
ECTOR,84,FRANK B CLEARFORK,"2,454",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/01/2017,32.072264,-102.691968,10:35:00 AM,4:30:00 PM,79741,6
ANDREWS,85,FULLERTON GAS PLANT,"2,736",NATURAL GAS PROCESSING,ANDREWS,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,MAINTENANCE,08/30/2017,FINAL REPORT,09/02/2017,32.428300,-102.806900,12:01:00 AM,8:01:00 PM,79714,12
HARRIS,86,GALENA PARK TERMINAL,"56,821",PIPELINE,GALENA PARK,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/31/2017,INITIAL REPORT,09/01/2017,29.737222,-95.226944,7:55:00 AM,6:55:00 AM,77001,1
ECTOR,87,GANDU 36 BATTERY,"6,147",OIL AND GAS PRODUCTION,ODESSA,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.062501,-102.690880,2:00:00 PM,1:30:00 PM,79766,13
ECTOR,88,GANDU BATTERY 34,"6,108",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.980924,-102.634535,2:00:00 PM,1:30:00 PM,79741,15
